episode,reward,loss,mode
0,-5342.50,5.9704,independent_dqn
1,-5677.50,4.4854,independent_dqn
2,-5944.50,3.5439,independent_dqn
3,-5449.00,3.1549,independent_dqn
4,-4460.50,2.4609,independent_dqn
5,-5006.00,2.1799,independent_dqn
6,-6236.00,2.1965,independent_dqn
7,-5030.50,2.2322,independent_dqn
8,-5408.00,2.1746,independent_dqn
9,-3763.00,2.1764,independent_dqn
10,-4581.50,2.2134,independent_dqn
11,-4234.00,2.1305,independent_dqn
12,-3917.00,2.0297,independent_dqn
13,-3828.00,1.8282,independent_dqn
14,-4161.50,1.8641,independent_dqn
15,-4474.00,2.1427,independent_dqn
16,-4178.50,2.3714,independent_dqn
17,-4098.50,2.3406,independent_dqn
18,-4008.50,2.2612,independent_dqn
19,-4068.00,2.1708,independent_dqn
0,-7488.34,8.4040,marl
1,-5915.30,8.1934,marl
2,-6662.88,5.5636,marl
3,-6482.12,3.9183,marl
4,-7788.94,3.5194,marl
5,-6712.98,3.5777,marl
6,-8083.78,3.6204,marl
7,-7998.38,3.6275,marl
8,-5881.08,3.8833,marl
9,-6160.36,3.5943,marl
10,-6677.52,3.6807,marl
11,-5654.88,3.8769,marl
12,-5346.74,3.7515,marl
13,-6156.04,3.7300,marl
14,-5645.82,3.4880,marl
15,-5900.44,3.1260,marl
16,-5942.84,3.2108,marl
17,-5495.84,2.8618,marl
18,-5252.46,2.6706,marl
19,-5141.06,2.5747,marl
